                   H2O_161                       H2O_181                  H2O_171                    H2O_162                    CO2_626                      CO_26                      CO_36                      CO_28                      CO_27                     CH4_211                       NH3_4111                 OH_61                         OCS_622                   H2CO_126                  HCN_124                      C2H2_1221    	      CH3OH_2161   HD		O                    HF_19             HCL_15                C2H4_38                     C2H6_90 
                     H2O                         H218O                    H217O		             HDO         		CO2	                     12CO                       13CO                       C18O                       C17O                      CH4                           NH3                      OH                            OCS                       H2CO                      HCN                          C2H2       	      CH3OH	   HD		O                    HF                HCL                   C2H4                        C2H6 
                     18                          20                       19                         19                         48                           28                         29                         30                         29                        16                            17                       17                            60                        30                        27                           26       	              32	   3		16                   15                36                    28                          30
  9.375           1.202090                   1.202090                   7.183320		   5.744820		      7.750000 			   3.74369		      7.7951		         3.91201		   22.982                     8.7500000  		   25.0000000		     2.6250000		          30.0000000 	            40.7500000		      28.5450000	           11.767900	  	 1100.000000	 1.00000      5.0000000           10.000000         40.000000             65.00000000                300.00000000
  18.75           3.096370                   3.096370   	       18.503000                  14.797600		     15.500000 			   7.12197		     14.8662		         7.46105		   43.7824		     17.500000  		   50.0000000		     5.2500000		          60.0000000 		    81.5000000		      54.9452000		   22.829700	  	 2200.000000	 1.00323      5.0000171           10.000000         40.000000            170.00000000                825.00000000
  37.5            8.658530                   8.658530   	       51.740700		  41.379400		     31.000000 			  13.8963		     29.0402		        14.5747 		   85.4870		     35.000000  	  	  100.000000		     10.500000		         120.000000 	           163.000000		      107.828000	           44.978000	  	 4400.000000	 1.09799      5.0073218           10.000000         40.000000            510.00000000               2500.00000000
  70.0           21.000000                  20.171000                 120.535679                  96.397760       	     62.559198  		  25.544319		     53.412561  		26.807121		  157.192407		     68.784320  		  200.810809		     21.849960  		 240.363594		   326.698806		      199.681993		   83.440158	  	 8795.105400	 1.49840      5.1276398  	  10.927704	    40.086002    	1206.85413000       	    5959.92658000	 
  71.0           21.432472                  20.607104                 123.141827                  98.533242       	     63.451270  		  25.904587		     54.166378  		27.185469		  159.409911		     70.235035  		  205.028138		     22.035634  		 243.797290		   333.683815		      202.508074		   84.623504	  	 8983.775390	 1.51280      5.1337920  	  11.061113	    40.617322	 	1232.73340000	    	    6088.84959000
  72.0           21.867648                  21.045936                 125.764281                 100.682342       	     64.343406  		  26.264860		     54.920207  		27.563822		  161.627464		     71.695093  		  209.272602		     22.222631  		 247.232137		   340.714119		      205.334314		   85.807037	  	 9173.781250	 1.52734      5.1400613  	  11.194561	    41.148682	 	1258.79565000	    	    6218.78274000
  73.0           22.305528                  21.487496                 128.403041                 102.845063       	     65.235606  		  26.625140		     55.674047  		27.942182		  163.845064		     73.164493  		  213.544202		     22.410951  		 250.668137		   347.789720		      208.160714		   86.990757	  	 9365.115230	 1.54202      5.1464442  	  11.328049	    41.680082	 	1285.03992000	    	    6349.78747000
  74.0           22.746112                  21.931784                 131.058107                 105.021402       	     66.127870  		  26.985427		     56.427898  		28.320549		  166.062712		     74.643235  		  217.842939		     22.600594  		 254.105289		   354.910617		      210.987274		   88.174664	  	 9557.766600	 1.55684      5.1529376  	  11.461576	    42.211522	 	1311.46472000	    	    6481.73672000
  75.0           23.189400                  22.378800                 133.729478                 107.211360       	     67.020198  		  27.345719		     57.181761  		28.698922		  168.280408		     76.131320  		  222.168811		     22.791560  		 257.543593		   362.076809		      213.813994		   89.358759	  	 9751.725590	 1.57181      5.1595379  	  11.595144	    42.743002	 	1338.06897000	    	    6614.75693000
  76.0           23.635392                  22.828544                 136.417154                 109.414938       	     67.912590  		  27.706019		     57.935634  		29.077301		  170.498152		     77.628747  		  226.521819		     22.983850  		 260.983048		   369.288298		      216.640874		   90.543040	  	 9946.985350	 1.58323      5.1662420  	  11.728751	    43.274522	 	1364.85132000	    	    6748.78344000
  77.0           24.084088                  23.281016                 139.121136                 111.632135       	     68.805046  		  28.066324		     58.689519  		29.455686		  172.715944		     79.135517  		  230.901964		     23.177463  		 264.423656		   376.545082		      219.467915		   91.727509	  	10143.536130	 1.59473      5.1730465  	  11.862397	    43.806082	 	1391.81091000	    	    6883.81506000
  78.0           24.535488                  23.736217                 141.841424                 113.862951       	     69.697566  		  28.426636		     59.443415  		29.834078		  174.933784		     80.651629  		  235.309244		     23.372399  		 267.865416		   383.847162		      222.295115		   92.912165	  	10341.368160	 1.60632      5.1799482  	  11.996084	    44.337682	 	1418.94641000	    	    7019.92073000
  79.0           24.989592                  24.194145                 144.578018                 116.107386       	     70.590150  		  28.786955		     60.197322  		30.212477		  177.151672		     82.177084  		  239.743660		     23.568658  		 271.308328		   391.194538		      225.122475		   94.097008	  	10540.476560	 1.61799      5.1869437  	  12.129810	    44.869322	 	1446.25647000	    	    7156.96104000
